CODE,VALUE
1.8.2 *13,"{'Descr': 'Positive active energy (A+) T2', 'BPeri': '13', 'Value': '', 'Unit': 'kWh'}"
1.8.2 *12,"{'Descr': 'Positive active energy (A+) T2', 'BPeri': '12', 'Value': '', 'Unit': 'kWh'}"
1.8.2 *11,"{'Descr': 'Positive active energy (A+) T2', 'BPeri': '11', 'Value': '', 'Unit': 'kWh'}"
1.8.2 *10,"{'Descr': 'Positive active energy (A+) T2', 'BPeri': '10', 'Value': '', 'Unit': 'kWh'}"
1.8.3 *15,"{'Descr': 'Positive active energy (A+) T3', 'BPeri': '15', 'Value': '', 'Unit': 'kWh'}"
1.8.3 *14,"{'Descr': 'Positive active energy (A+) T3', 'BPeri': '14', 'Value': '', 'Unit': 'kWh'}"
1.8.3 *13,"{'Descr': 'Positive active energy (A+) T3', 'BPeri': '13', 'Value': '', 'Unit': 'kWh'}"
1.8.3 *12,"{'Descr': 'Positive active energy (A+) T3', 'BPeri': '12', 'Value': '', 'Unit': 'kWh'}"
1.8.3 *11,"{'Descr': 'Positive active energy (A+) T3', 'BPeri': '11', 'Value': '', 'Unit': 'kWh'}"
1.8.3 *10,"{'Descr': 'Positive active energy (A+) T3', 'BPeri': '10', 'Value': '', 'Unit': 'kWh'}"
1.8.4 *15,"{'Descr': 'Positive active energy (A+) T4', 'BPeri': '15', 'Value': '', 'Unit': 'kWh'}"
1.8.4 *14,"{'Descr': 'Positive active energy (A+) T4', 'BPeri': '14', 'Value': '', 'Unit': 'kWh'}"
1.8.4 *13,"{'Descr': 'Positive active energy (A+) T4', 'BPeri': '13', 'Value': '', 'Unit': 'kWh'}"
1.8.4 *12,"{'Descr': 'Positive active energy (A+) T4', 'BPeri': '12', 'Value': '', 'Unit': 'kWh'}"
1.8.4 *11,"{'Descr': 'Positive active energy (A+) T4', 'BPeri': '11', 'Value': '', 'Unit': 'kWh'}"
1.8.4 *10,"{'Descr': 'Positive active energy (A+) T4', 'BPeri': '10', 'Value': '', 'Unit': 'kWh'}"
